,ZIP,sum_essential,total
0,00601,2454.0,3630.0
1,00602,7631.0,10851.0
2,00603,8062.0,11965.0
3,00606,1269.0,1455.0
4,00610,6237.0,8273.0
5,00612,11514.0,16189.0
6,00616,2247.0,3114.0
7,00617,4609.0,6622.0
8,00622,1321.0,1811.0
9,00623,7959.0,11823.0
10,00624,3792.0,5565.0
11,00627,6173.0,9257.0
12,00631,147.0,393.0
13,00637,4248.0,6344.0
14,00638,2696.0,3496.0
15,00641,3994.0,5788.0
16,00646,6994.0,11732.0
17,00647,612.0,1068.0
18,00650,2959.0,3993.0
19,00652,843.0,975.0
20,00653,1269.0,2002.0
21,00656,2937.0,4481.0
22,00659,7966.0,12681.0
23,00660,3448.0,4953.0
24,00662,7095.0,10479.0
25,00664,2373.0,3368.0
26,00667,4227.0,5581.0
27,00669,4410.0,6507.0
28,00670,1360.0,2161.0
29,00674,6768.0,10675.0
30,00676,7286.0,10020.0
31,00677,3225.0,4775.0
32,00678,5784.0,7553.0
33,00680,6960.0,11303.0
34,00682,4683.0,7233.0
35,00683,4328.0,6828.0
36,00685,6677.0,9126.0
37,00687,6242.0,9223.0
38,00688,2185.0,3041.0
39,00690,1232.0,1744.0
40,00692,7036.0,10732.0
41,00693,10571.0,15193.0
42,00694,0.0,0.0
43,00698,5741.0,8825.0
44,00703,6423.0,8385.0
45,00704,1643.0,2425.0
46,00705,4810.0,6896.0
47,00707,1583.0,2242.0
48,00714,2483.0,3714.0
49,00715,466.0,594.0
50,00716,3800.0,6695.0
51,00717,2276.0,3629.0
52,00718,4603.0,6687.0
53,00719,5092.0,7291.0
54,00720,3130.0,4624.0
55,00723,3239.0,4165.0
56,00725,17365.0,26654.0
57,00727,11700.0,20698.0
58,00728,7261.0,11325.0
59,00729,12232.0,16959.0
60,00730,5192.0,7622.0
61,00731,2077.0,3245.0
62,00735,2561.0,3389.0
63,00736,8781.0,14203.0
64,00738,6594.0,9121.0
65,00739,7225.0,10642.0
66,00740,391.0,513.0
67,00741,1000.0,1261.0
68,00745,12326.0,17548.0
69,00751,4402.0,5818.0
70,00754,7429.0,10851.0
71,00757,5614.0,8119.0
72,00765,1478.0,2040.0
73,00766,4680.0,6618.0
74,00767,6458.0,8644.0
75,00769,8163.0,11401.0
76,00771,6779.0,10685.0
77,00772,3608.0,4917.0
78,00773,4212.0,5680.0
79,00775,481.0,605.0
80,00777,9250.0,12912.0
81,00778,10133.0,18030.0
82,00780,1925.0,3295.0
83,00782,3182.0,4689.0
84,00783,5517.0,8440.0
85,00784,5723.0,9252.0
86,00786,61.0,114.0
87,00791,9513.0,13960.0
88,00794,5247.0,7479.0
89,00795,9612.0,13178.0
90,00901,1133.0,2525.0
91,00906,32.0,146.0
92,00907,3117.0,7527.0
93,00909,1132.0,1954.0
94,00911,1537.0,3299.0
95,00912,1610.0,2644.0
96,00913,939.0,1440.0
97,00915,6267.0,7698.0
98,00917,3543.0,5731.0
99,00918,2291.0,6320.0
100,00920,4694.0,6808.0
101,00921,6501.0,10444.0
102,00923,5161.0,7693.0
103,00924,9098.0,15267.0
104,00925,1755.0,2707.0
105,00926,17597.0,36088.0
106,00927,2331.0,5648.0
107,00934,0.0,18.0
108,00936,0.0,0.0
109,00949,18077.0,26537.0
110,00950,0.0,0.0
111,00951,0.0,0.0
112,00952,1752.0,2029.0
113,00953,17287.0,26770.0
114,00956,14945.0,22040.0
115,00957,9352.0,13901.0
116,00959,11516.0,18563.0
117,00960,1.0,1.0
118,00961,5895.0,9936.0
119,00962,3979.0,5406.0
120,00965,1223.0,1768.0
121,00966,2202.0,6213.0
122,00968,399.0,1414.0
123,00969,7413.0,17219.0
124,00971,7237.0,10315.0
125,00976,13483.0,22932.0
126,00979,4290.0,8191.0
127,00982,3001.0,4735.0
128,00983,8229.0,12495.0
129,00985,7631.0,10827.0
130,00987,12555.0,20492.0
131,01001,4295.0,8141.0
132,01002,7143.0,15669.0
133,01003,2575.0,3765.0
134,01005,1531.0,2831.0
135,01007,3902.0,8480.0
136,01008,309.0,571.0
137,01009,218.0,360.0
138,01010,827.0,1761.0
139,01011,503.0,710.0
140,01012,257.0,370.0
141,01013,6252.0,10500.0
142,01020,9503.0,14511.0
143,01022,347.0,699.0
144,01026,201.0,423.0
145,01027,5002.0,9647.0
146,01028,3727.0,7548.0
147,01029,181.0,354.0
148,01030,3594.0,6780.0
149,01031,593.0,769.0
150,01032,107.0,270.0
151,01033,2327.0,4045.0
152,01034,595.0,1104.0
153,01035,834.0,2603.0
154,01036,1570.0,2739.0
155,01037,143.0,260.0
156,01038,732.0,1469.0
157,01039,376.0,951.0
158,01040,9730.0,16371.0
159,01050,861.0,1435.0
160,01053,219.0,551.0
161,01054,354.0,935.0
162,01056,6493.0,11092.0
163,01057,2973.0,4748.0
164,01060,3287.0,9066.0
165,01062,2024.0,4879.0
166,01063,183.0,274.0
167,01066,0.0,0.0
168,01068,472.0,904.0
169,01069,2530.0,4470.0
170,01070,159.0,345.0
171,01071,465.0,710.0
172,01072,278.0,748.0
173,01073,1774.0,3374.0
174,01074,142.0,215.0
175,01075,4579.0,9346.0
176,01077,2884.0,5279.0
177,01079,126.0,195.0
178,01080,862.0,1115.0
179,01081,714.0,1104.0
180,01082,3118.0,4866.0
181,01083,1017.0,1553.0
182,01084,16.0,75.0
183,01085,11685.0,21012.0
184,01086,35.0,57.0
185,01088,216.0,365.0
186,01089,8593.0,14917.0
187,01092,480.0,706.0
188,01093,105.0,196.0
189,01094,71.0,119.0
190,01095,3543.0,7666.0
191,01096,828.0,1425.0
192,01097,9.0,28.0
